crisis_id,raw_coverage,fund_required,people_affected,crisis_days,top3_outlet_ratio,framing_ratio_economic,framing_ratio_geopolitical,framing_ratio_humanitarian
1,8302,3.04,22.9,1287,0.21103348590701035,0.0,0.0,0.0
2,349,1.5,7.8,5701,0.3553008595988539,0.0,0.0,0.0
3,1580,3.23,21.2,1075,0.45379746835443036,0.0,0.0,0.0
4,1511,2.0,10.0,1560,0.5519523494374586,0.0,0.0,0.0
5,29020,4.0,3.3,496,0.17398345968297727,0.014625066477574899,0.21268392129055133,0.401170005318206
6,1856,1.1,19.9,2748,0.4078663793103448,0.0,0.0,0.0
7,1749,10.28,30.4,679,0.4156660949113779,0.0,0.0,0.0
8,10542,8.58,16.7,5093,0.25166002656042497,0.0,0.0,0.0
9,21440,3.32,12.7,1103,0.2058768656716418,0.038666508763619135,0.32460918995736615,0.23951918522027474
10,1973,2.5,19.5,3813,0.3578307146477446,0.0,0.0,0.0
