crisis_name,framing,raw_count,article_count,mentions_per_article,outlet
Gaza and the Occupied Palestinian Territories,economic,4,408,0.0098039216,USA Today
Gaza and the Occupied Palestinian Territories,geopolitical,109,408,0.2671568627,USA Today
Gaza and the Occupied Palestinian Territories,humanitarian,151,408,0.3700980392,USA Today
Gaza and the Occupied Palestinian Territories,legal,11,408,0.0269607843,USA Today
Gaza and the Occupied Palestinian Territories,military,74,408,0.181372549,USA Today
Gaza and the Occupied Palestinian Territories,other,59,408,0.1446078431,USA Today
Ukraine,economic,13,257,0.0505836576,USA Today
Ukraine,geopolitical,98,257,0.3813229572,USA Today
Ukraine,humanitarian,49,257,0.1906614786,USA Today
Ukraine,legal,4,257,0.0155642023,USA Today
Ukraine,military,53,257,0.2062256809,USA Today
Ukraine,other,40,257,0.1556420233,USA Today
Gaza and the Occupied Palestinian Territories,economic,10,1066,0.009380863,CNN
Gaza and the Occupied Palestinian Territories,geopolitical,189,1066,0.1772983114,CNN
Gaza and the Occupied Palestinian Territories,humanitarian,476,1066,0.4465290807,CNN
Gaza and the Occupied Palestinian Territories,legal,14,1066,0.0131332083,CNN
Gaza and the Occupied Palestinian Territories,military,255,1066,0.2392120075,CNN
Gaza and the Occupied Palestinian Territories,other,122,1066,0.1144465291,CNN
Ukraine,economic,38,1388,0.0273775216,CNN
Ukraine,geopolitical,416,1388,0.2997118156,CNN
Ukraine,humanitarian,349,1388,0.2514409222,CNN
Ukraine,legal,17,1388,0.0122478386,CNN
Ukraine,military,462,1388,0.3328530259,CNN
Ukraine,other,106,1388,0.0763688761,CNN
Gaza and the Occupied Palestinian Territories,economic,11,1568,0.0070153061,The Guardian
Gaza and the Occupied Palestinian Territories,geopolitical,318,1568,0.2028061224,The Guardian
Gaza and the Occupied Palestinian Territories,humanitarian,864,1568,0.5510204082,The Guardian
Gaza and the Occupied Palestinian Territories,legal,51,1568,0.0325255102,The Guardian
Gaza and the Occupied Palestinian Territories,military,290,1568,0.1849489796,The Guardian
Gaza and the Occupied Palestinian Territories,other,34,1568,0.0216836735,The Guardian
Ukraine,economic,30,504,0.0595238095,The Guardian
Ukraine,geopolitical,156,504,0.3095238095,The Guardian
Ukraine,humanitarian,169,504,0.3353174603,The Guardian
Ukraine,legal,8,504,0.0158730159,The Guardian
Ukraine,military,129,504,0.255952381,The Guardian
Ukraine,other,12,504,0.0238095238,The Guardian
Gaza and the Occupied Palestinian Territories,economic,7,142,0.0492957746,RT
