entity,sentiment,crisis_name,mentions_per_article,raw_count,outlet
Putin,negative,Ukraine,0.4108527132,106,USA Today
Putin,neutral,Ukraine,0.0503875969,13,USA Today
Putin,positive,Ukraine,0.003875969,1,USA Today
Zelensky,positive,Ukraine,0.2131782946,55,USA Today
Zelensky,neutral,Ukraine,0.0775193798,20,USA Today
Zelensky,negative,Ukraine,0.003875969,1,USA Today
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.1838235294,75,USA Today
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.112745098,46,USA Today
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0245098039,10,USA Today
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.6004901961,245,USA Today
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.1078431373,44,USA Today
Putin,negative,Ukraine,0.4387608069,609,CNN
Putin,neutral,Ukraine,0.0958213256,133,CNN
Putin,positive,Ukraine,0.0014409222,2,CNN
Zelensky,positive,Ukraine,0.3263688761,453,CNN
Zelensky,neutral,Ukraine,0.1116714697,155,CNN
Zelensky,negative,Ukraine,0.0050432277,7,CNN
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.297474275,318,CNN
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.165575304,177,CNN
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0159027128,17,CNN
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.6651075772,711,CNN
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.088868101,95,CNN
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0028063611,3,CNN
Putin,negative,Ukraine,0.3366336634,170,The Guardian
Putin,neutral,Ukraine,0.0910891089,46,The Guardian
Zelensky,positive,Ukraine,0.196039604,99,The Guardian
Zelensky,neutral,Ukraine,0.095049505,48,The Guardian
Zelensky,negative,Ukraine,0.0079207921,4,The Guardian
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.2554002541,402,The Guardian
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.1709021601,269,The Guardian
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0165184244,26,The Guardian
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.6073697586,956,The Guardian
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.1810673443,285,The Guardian
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0025412961,4,The Guardian
Putin,neutral,Ukraine,0.25,22,RT
Putin,positive,Ukraine,0.0568181818,5,RT
Putin,negative,Ukraine,0.0454545455,4,RT
Zelensky,neutral,Ukraine,0.1931818182,17,RT
Zelensky,negative,Ukraine,0.1818181818,16,RT
Zelensky,positive,Ukraine,0.0568181818,5,RT
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.1549295775,22,RT
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.0633802817,9,RT
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.014084507,2,RT
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.2394366197,34,RT
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.2112676056,30,RT
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0352112676,5,RT
Putin,negative,Ukraine,0.3210332103,87,CBC (Canadian Broadcasting Corporation)
Putin,neutral,Ukraine,0.0627306273,17,CBC (Canadian Broadcasting Corporation)
Zelensky,positive,Ukraine,0.1771217712,48,CBC (Canadian Broadcasting Corporation)
Zelensky,neutral,Ukraine,0.1143911439,31,CBC (Canadian Broadcasting Corporation)
Zelensky,negative,Ukraine,0.0073800738,2,CBC (Canadian Broadcasting Corporation)
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.1910519952,158,CBC (Canadian Broadcasting Corporation)
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.1051995163,87,CBC (Canadian Broadcasting Corporation)
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0072551391,6,CBC (Canadian Broadcasting Corporation)
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.6275695284,519,CBC (Canadian Broadcasting Corporation)
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.1426844015,118,CBC (Canadian Broadcasting Corporation)
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0024183797,2,CBC (Canadian Broadcasting Corporation)
Putin,negative,Ukraine,0.3712480253,470,Al Jazeera
Putin,neutral,Ukraine,0.144549763,183,Al Jazeera
Putin,positive,Ukraine,0.0055292259,7,Al Jazeera
Zelensky,positive,Ukraine,0.2685624013,340,Al Jazeera
Zelensky,neutral,Ukraine,0.1358609795,172,Al Jazeera
Zelensky,negative,Ukraine,0.0063191153,8,Al Jazeera
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.1134453782,162,Al Jazeera
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.1036414566,148,Al Jazeera
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0084033613,12,Al Jazeera
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.3291316527,470,Al Jazeera
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.2016806723,288,Al Jazeera
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0091036415,13,Al Jazeera
Putin,negative,Ukraine,0.7176470588,427,The Sun
Putin,neutral,Ukraine,0.0336134454,20,The Sun
Putin,positive,Ukraine,0.0016806723,1,The Sun
Zelensky,positive,Ukraine,0.218487395,130,The Sun
Zelensky,neutral,Ukraine,0.0705882353,42,The Sun
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.2389210019,124,The Sun
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.0500963391,26,The Sun
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0462427746,24,The Sun
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.7341040462,381,The Sun
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.0250481696,13,The Sun
Putin,negative,Ukraine,0.4214285714,59,yahoo
Putin,neutral,Ukraine,0.0714285714,10,yahoo
Zelensky,positive,Ukraine,0.2,28,yahoo
Zelensky,neutral,Ukraine,0.0785714286,11,yahoo
Zelensky,negative,Ukraine,0.0071428571,1,yahoo
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.1939058172,140,yahoo
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.0664819945,48,yahoo
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0346260388,25,yahoo
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.4293628809,310,yahoo
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.1468144044,106,yahoo
Hamas,positive,Gaza and the Occupied Palestinian Territories,0.0055401662,4,yahoo
Putin,negative,Ukraine,0.2441860465,21,Business Insider
Putin,neutral,Ukraine,0.1162790698,10,Business Insider
Zelensky,positive,Ukraine,0.1046511628,9,Business Insider
Zelensky,neutral,Ukraine,0.0930232558,8,Business Insider
Zelensky,negative,Ukraine,0.011627907,1,Business Insider
Netanyahu,neutral,Gaza and the Occupied Palestinian Territories,0.1294117647,22,Business Insider
Netanyahu,negative,Gaza and the Occupied Palestinian Territories,0.0352941176,6,Business Insider
Netanyahu,positive,Gaza and the Occupied Palestinian Territories,0.0058823529,1,Business Insider
Hamas,negative,Gaza and the Occupied Palestinian Territories,0.6705882353,114,Business Insider
Hamas,neutral,Gaza and the Occupied Palestinian Territories,0.0941176471,16,Business Insider
