group,framing_type,crisis_name,mentions_per_article,raw_count,outlet
Russia,victim,Ukraine,0.015503876,4,USA Today
Russia,causor,Ukraine,0.7364341085,190,USA Today
Ukraine,victim,Ukraine,0.6782945736,175,USA Today
Ukraine,causor,Ukraine,0.0,0,USA Today
Israel,victim,Gaza and the Occupied Palestinian Territories,0.5367647059,219,USA Today
Israel,causor,Gaza and the Occupied Palestinian Territories,0.1911764706,78,USA Today
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.4901960784,200,USA Today
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0294117647,12,USA Today
Russia,victim,Ukraine,0.0223342939,31,CNN
Russia,causor,Ukraine,0.8011527378,1112,CNN
Ukraine,victim,Ukraine,0.757204611,1051,CNN
Ukraine,causor,Ukraine,0.0165706052,23,CNN
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4013096352,429,CNN
Israel,causor,Gaza and the Occupied Palestinian Territories,0.4246959775,454,CNN
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.693171188,741,CNN
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0252572498,27,CNN
Russia,victim,Ukraine,0.0435643564,22,The Guardian
Russia,causor,Ukraine,0.6356435644,321,The Guardian
Ukraine,victim,Ukraine,0.5742574257,290,The Guardian
Ukraine,causor,Ukraine,0.0257425743,13,The Guardian
Israel,victim,Gaza and the Occupied Palestinian Territories,0.376111817,592,The Guardian
Israel,causor,Gaza and the Occupied Palestinian Territories,0.5756035578,906,The Guardian
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.8119440915,1278,The Guardian
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0362134689,57,The Guardian
Russia,victim,Ukraine,0.125,11,RT
Russia,causor,Ukraine,0.2045454545,18,RT
Ukraine,victim,Ukraine,0.2727272727,24,RT
Ukraine,causor,Ukraine,0.3181818182,28,RT
Israel,victim,Gaza and the Occupied Palestinian Territories,0.1971830986,28,RT
Israel,causor,Gaza and the Occupied Palestinian Territories,0.5563380282,79,RT
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.676056338,96,RT
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0563380282,8,RT
Russia,victim,Ukraine,0.0258302583,7,CBC (Canadian Broadcasting Corporation)
Russia,causor,Ukraine,0.8007380074,217,CBC (Canadian Broadcasting Corporation)
Ukraine,victim,Ukraine,0.8044280443,218,CBC (Canadian Broadcasting Corporation)
Ukraine,causor,Ukraine,0.0184501845,5,CBC (Canadian Broadcasting Corporation)
Israel,victim,Gaza and the Occupied Palestinian Territories,0.4220072551,349,CBC (Canadian Broadcasting Corporation)
Israel,causor,Gaza and the Occupied Palestinian Territories,0.4123337364,341,CBC (Canadian Broadcasting Corporation)
Palestine,victim,Gaza and the Occupied Palestinian Territories,0.7412333736,613,CBC (Canadian Broadcasting Corporation)
Palestine,causor,Gaza and the Occupied Palestinian Territories,0.0290205562,24,CBC (Canadian Broadcasting Corporation)
Russia,victim,Ukraine,0.0300157978,38,Al Jazeera
Russia,causor,Ukraine,0.7440758294,942,Al Jazeera
Ukraine,victim,Ukraine,0.6808846761,862,Al Jazeera
Ukraine,causor,Ukraine,0.041864139,53,Al Jazeera
Israel,victim,Gaza and the Occupied Palestinian Territories,0.1631652661,233,Al Jazeera
